character,centrality
Wanda Maximoff,0.0021416153
Bruce Banner,0.1058614767
Nebula,0.03673508513
Sif,0.0008297771456
Bucky Barnes,0.003495398752
Tony Stark,0.167421874
Clint Barton,0.02700431999
Steven Strange,0.0009974259974
Drax,0.01394862653
Natasha Romanov,0.05138513017
Gamora,0.007402442497
T'challa,0.05569326257
Luis,0
Happy Hogan,0.0007112375533
Odin,0
Nakia,0
Dr. Hank Pym,0.009511548692
Rhodey,0.01377879893
Janet van Dyne,0
Thaddeus Ross,0
Mantis,0.003636479582
Thor,0.168992145
Sam Wilson,0.02963154418
Wong,0.005140307772
Yondu,0
Howard Stark,0.01236029628
Heimdall,0.007097099777
Vision,0
Carol Danvers,0.002990352774
Maria Hill,0.004659478344
Pepper Potts,0.002370791844
Rocket Raccoon,0.06456968088
Nick Fury,0.009005939114
Scott Lang,0.1153776091
Loki,0.02029204797
Peter Parker,0.000825394169
Phil Coulson,0.006076654415
Peter Quill,0.006204700942
Steve Rogers,0.06803353475
