character,centrality
Wanda Maximoff,0.5428571429
Bruce Banner,0.6666666667
Nebula,0.5846153846
Sif,0.4318181818
Bucky Barnes,0.5428571429
Tony Stark,0.7307692308
Clint Barton,0.6440677966
Steven Strange,0.4222222222
Drax,0.5277777778
Natasha Romanov,0.6785714286
Gamora,0.5
T'challa,0.5757575758
Luis,0.38
Happy Hogan,0.4634146341
Odin,0.4269662921
Nakia,0.3689320388
Dr. Hank Pym,0.4318181818
Rhodey,0.5588235294
Janet van Dyne,0.38
Thaddeus Ross,0.4042553191
Mantis,0.5135135135
Thor,0.6909090909
Sam Wilson,0.5757575758
Wong,0.4634146341
Yondu,0.4222222222
Howard Stark,0.5
Heimdall,0.5
Vision,0.5205479452
Carol Danvers,0.5352112676
Maria Hill,0.5277777778
Pepper Potts,0.475
Rocket Raccoon,0.6333333333
Nick Fury,0.5588235294
Scott Lang,0.5846153846
Loki,0.5352112676
Peter Parker,0.4634146341
Phil Coulson,0.5135135135
Peter Quill,0.4418604651
Steve Rogers,0.6785714286
