character,dialogue,movie
boy,Baba…,black_panther
man,"Yes, my son.",black_panther
boy,Tell me a story.,black_panther
man,(chuckles) Which one?,black_panther
boy,The story of home.,black_panther
man,"Millions of years ago… a meteorite made of vibranium, the strongest substance in the universe, struck the continent of Africa… affecting the plant life around it. And when the time of man came… five tribes settled on it and called it Wakanda. The tribes lived in constant war with each other… until a warrior shaman… received a vision from the Panther Goddess Bast… who led him to the Heart-Shaped Herb… a plant that granted him superhuman strength, speed and instincts. The warrior became king… and the first Black Panther… the protector of Wakanda. Four tribes agreed to live under the king’s rule… but the Jabari Tribe isolated themselves in the mountains. The Wakandans used vibranium to develop technology… more Advanced than any other nation. But as Wakanda thrived… the world around it descended further into chaos. To keep vibranium safe… the Wakandans vowed to hide in plain sight… keeping the Truth of their power from the outside world.",black_panther
boy,"And we still hide, Baba?",black_panther
man,Yes.,black_panther
boy,Why?,black_panther
reporter,"The tiny nation of Wakanda is mourning the death of its monarch, King T’Chaka. The beloved ruler was one of many confirmed dead… after a terrorist Attack at the United Nations a week ago. The suspect has since been apprehended. (Picture of Helmut ZEMO displayed) Though it remains one of the poorest countries in the world… fortified by mountain ranges… and an impenetrable rainforest… Wakanda does not engage in international trade or accept aid. The succession of the throne… is expected to fall to the oldest of the king’s two children… Prince T’Challa.",black_panther
okoye,My Prince… coming up on them now.,black_panther
black panther,"No need, Okoye. I can handle this alone.",black_panther
okoye,Hmm.,black_panther
black panther,I will get Nakia out as quickly as possible.,black_panther
okoye,Just don’t freeze when you see her.,black_panther
black panther,What are you talking about? I never freeze.,black_panther
militant 1,What’s going on?,black_panther
militant 2,It’s the car. It lost power. It won’t start. The car no start.,black_panther
militant 3,What happened?,black_panther
militant 4,The engine failed.,black_panther
militant 1,"Ours, too. What is it, Captain? - Defense positions.- (GUNS COCKING) Defense positions.",black_panther
militant 2,Are we under attack? Defense positions. Get around to the side. Defense positions. Hey. Defense positions! No games. (BARKING) What do you see? (WHISPERING INDISTINCTLY) - Come in. Come in. - (SCREAMS) Over there! Look back! Watch out! (ALL SCREAMING AND GRUNTING),black_panther
Nakia,"T’Challa, no! This one’s just a boy. He got kidnapped as well.",black_panther
black panther,Nakia… I… - I wanted…-,black_panther
militant 1,Hey! I have her! Don’t move! I will shoot! I will shoot her right now. (GROANS),black_panther
okoye,You froze.,black_panther
black panther,Ah…,black_panther
Nakia,Why are you here? You’ve ruined my mission.,black_panther
black panther,"My father is dead, Nakia. I will be crowned king tomorrow. And I wish for you to be there.",black_panther
Nakia,Carry yourselves home now.,black_panther
woman,Thank you.,black_panther
Nakia,And take the boy. Get him to his people.,black_panther
woman,Thank you oh.,black_panther
okoye,You will speak nothing of this day.,black_panther
woman,Yes. Thank you. Thank you.,black_panther
okoye,Sister Nakia… My Prince… we are home.,black_panther
T'challa,This never gets old.,black_panther
Nakia,Queen Mother… Princess… My comfort for your loss.,black_panther
ramonda,"Thank you, Nakia. It is so good to have you back with us.",black_panther
okoye,Take her to the River Province to prepare her for the ceremony.,black_panther
dora milaje,"Yes, General.",black_panther
shuri,Did he freeze?,black_panther
ayo,Like an antelope in headlights.,black_panther
T'challa,Are you finished? So surprised my little sister came to see me off before our big day.,black_panther
shuri,You wish! I’m here for the EMP beads. I’ve developed an update.,black_panther
T'challa,Update? No. It worked perfectly.,black_panther
shuri,How many times do I have to teach you? Just because something works doesn’t mean that it cannot be improved.,black_panther
T'challa,You are teaching me? What do you know?,black_panther
shuri,More than you.,black_panther
T'challa,I can’t wait to see what kind of update you make… to your ceremonial outfit.,black_panther
ramonda,Shuri!,black_panther
shuri,"Sorry, Mother!",black_panther
T'challa,"How are you feeling today, Mama?",black_panther
ramonda,Proud. Your father and I would talk about this day all the time. He is with us… and it is your time to be king.,black_panther
curator,Good morning. How can I help you?,black_panther
erik killmonger,I was just checking out these artifacts. They tell me you’re the expert.,black_panther
curator,Ah. You could say that.,black_panther
erik killmonger,They’re beautiful. Where’s this one from?,black_panther
curator,The Bobo Ashanti tribe… present day Ghana… 19th century.,black_panther
erik killmonger,For real? What about this one?,black_panther
curator,That one’s from the Edo people of Benin… 16th century.,black_panther
erik killmonger,"Now, tell me about this one.",black_panther
curator,"Also from Benin, seventh century. (CLEARS THROAT) Fula tribe, I believe.",black_panther
erik killmonger,Nah.,black_panther
curator,I beg your pardon?,black_panther
erik killmonger,It was taken by British soldiers in Benin but it’s from Wakanda. And it’s made out of vibranium. (CHUCKLES) Don’t trip. I’mma take it off your hands for you.,black_panther
curator,These items aren’t for sale.,black_panther
erik killmonger,"How do you think your ancestors got these? You think they paid a fair price? Or did they take it, like they took everything else?",black_panther
curator,"Sir, I’m going to have to (CLEARS THROAT) ask you to leave.",black_panther
erik killmonger,You got all this security in here watching me ever since I walked in.,black_panther
curator,(CLEARS THROAT),black_panther
erik killmonger,But you ain’t checking for what you put in your body.,black_panther
curator,(GASPS),black_panther
curator,(GRUNTS),black_panther
erik killmonger,"I think she might not be feeling too good. Somebody get some help! Come here! Call a doctor, please! Please, somebody, come help!",black_panther
guard,"Medical emergency right away in the West African Exhibit, please, right away. Look out. Step back, please. Step back. Thank you. Coming through over there. Medics coming through.",black_panther
linda,I’m gonna take a break.,black_panther
medic 1,"Let’s give the lady some space, please.",black_panther
medic 2,"Step back, please, gents. Step back, please. (GUARDS GRUNT) Hey, come here. Come here. It’s okay. You can go, but just don’t tell anyone, all right?",black_panther
erik killmonger,"Bro, why you ain’t just shoot him right here?",black_panther
ulysses klaue,Because it’s better to leave the crime scene more spread out. Makes us look like amateurs.,black_panther
ulysses klaue,"Now then, let’s see if you know what you’re talking about. (DEVICE WHIRRING) That’s just a taste. (SNIFFING)",black_panther
erik killmonger,"Nah, I’m just feeling it.",black_panther
T'challa,"Come home, Nakia.",black_panther
Nakia,I’m right here.,black_panther
T'challa,Stay.,black_panther
Nakia,I came to support you and to honor your father… but I can’t stay. I found my calling out there. I’ve seen too many in need just to turn a blind eye. I can’t be happy here… knowing that there’s people out there who have nothing.,black_panther
T'challa,What would you have Wakanda do about it?,black_panther
Nakia,"Share what we have. We could provide aid… and access to technology and refuge to those who need it. Other countries do it, we could do it better.",black_panther
T'challa,"We are not like these other countries, Nakia. If the world found out what we truly are… what we possess… we could lose our way of life.",black_panther
Nakia,Wakanda is strong enough to help others and protect ourselves at the same time.,black_panther
T'challa,"(SIGHS) If you were not so stubborn, you would make a great queen.",black_panther
Nakia,I would make a great queen because I am so stubborn.,black_panther
T'challa,"Ah! See, you admit it.",black_panther
Nakia,If that’s what I wanted.,black_panther
t’challa,"Is that him? Glory to Bast, man. Is he still growing?",black_panther
w’kabi,Of course. I see Nakia is back. You guys going to work it out?,black_panther
t’challa,…,black_panther
w'kabi,What’s wrong?,black_panther
T'challa,Nakia thinks we should be doing more.,black_panther
w'kabi,"More, like what?",black_panther
T'challa,"Foreign aid, refugee programs.",black_panther
w'kabi,"You let the refugees in… they bring their problems with them. And then Wakanda is like everywhere else. Now if you said you wanted me and my men… to go out there and clean up the world, then I’ll be all for it.",black_panther
T'challa,But waging war on other countries has never been our way.,black_panther
T'challa,"You, too, huh?",black_panther
w'kabi,Bast! We’re in trouble.,black_panther
okoye,My King. My love. You will never guess who just popped up on our radar. A misidentified Wakandan artifact… was stolen yesterday from a British museum. We have learned Ulysses Klaue… plans to sell the vibranium to an American buyer… in South Korea… tomorrow night.,black_panther
